Sample	ID	Chromosome	Start.bp	End.bp	num.mark	seg.mean.a	seg.mean.b	modal_A1	modal_A2	LOH	length
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	7	537959	55540707	83	0.071	0.929	0	4	1	55002748
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	7	62752318	100639139	104	0.0663	0.9337	0	4	1	37886821
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	7	100647875	157959911	102	0.1358	0.8642	0	4	1	57312036
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	8	182340	11996150	29	0.0783	0.9217	0	4	1	11813810
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	8	12885465	40011767	16	0.0497	0.9503	0	4	1	27126302
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	8	52730181	146105917	70	0.1247	0.8753	0	4	1	93375736
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	9	117713	33385762	22	0.0302	0.9698	0	4	1	33268049
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	9	70176768	96328303	21	0.0725	0.9275	0	4	1	26151535
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	9	99703389	140878616	73	0.0499	0.9501	0	4	1	41175227
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	10	7602542	7618686	6	0.0918	0.9082	0	4	1	16144
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	10	26932964	27692205	12	0.0139	0.9861	0	4	1	759241
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	10	46111950	46321905	3	0.0134	0.9866	0	4	1	209955
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	10	81446992	81448483	4	0.0076	0.9924	0	4	1	1491
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	11	128623	128653	4	0.0311	0.9689	0	4	1	30
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	11	1606120	1705473	10	0.0336	0.9664	0	4	1	99353
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	11	67430589	67795353	13	0.0392	0.9608	0	4	1	364764
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	12	48866792	50305007	14	0.0187	0.9813	0	4	1	1438215
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	12	64540665	119419603	71	0.1062	0.8938	0	4	1	54878938
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	13	19918805	25052261	16	0.0431	0.9569	0	4	1	5133456
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	13	26594700	114322289	48	0.053	0.947	0	4	1	87727589
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	14	105417765	105419234	9	0.0515	0.9485	0	4	1	1469
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	15	20743796	20777329	3	0.1224	0.8776	0	4	1	33533
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	15	90764219	90891566	6	0.1032	0.8968	0	4	1	127347
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	16	461507	1279623	15	0.0841	0.9159	0	4	1	818116
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	16	1394507	34404560	61	0.0779	0.9221	0	4	1	33010053
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	17	291746	15690793	74	0.0866	0.9134	0	4	1	15399047
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	17	16692262	20406015	27	0.1319	0.8681	0	4	1	3713753
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	17	26880657	45214544	83	0.0709	0.9291	0	4	1	18333887
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	17	46002744	57477847	21	0.0324	0.9676	0	4	1	11475103
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	17	60344525	80787871	76	0.0448	0.9552	0	4	1	20443346
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	19	682211	757606	6	0.0545	0.9455	0	4	1	75395
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	20	40708343	62522710	34	0.027	0.973	0	4	1	21814367
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	21	14424382	47989396	60	0.0414	0.9586	0	4	1	33565014
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	22	16269934	51222052	93	0.1238	0.8762	0	4	1	34952118
